1	0	UBERON_0018296PATOTEMP_d4b1149b-cd77-4235-97d0-61045b2788ae	AI_EQ_1
1	0	UBERON_0018297PATO_0000586	AI_EQ_2
1	1	UBERON_0018296PATOTEMP_e76c6090-bd06-405b-9487-9b25ed5e341e	AI_EQ_1
1	1	UBERON_0018297PATO_0000467	AI_EQ_2
1	2	UBERON_0018296PATOTEMP_e76c6090-bd06-405b-9487-9b25ed5e341e	AI_EQ_1
1	2	UBERON_0018297PATO_0000462	AI_EQ_2
2	0	UBERON_4300127PATO_0000070	AI_EQ_1
2	1	UBERON_4300127PATO_0000070	AI_EQ_1
2	1	UBERON_4300127PATO_0001784	AI_EQ_2
3	0	UBERON_0017098BFO_0000050UBERON_4100111PATO_0000462	AI_EQ_1
3	1	UBERON_0017098BFO_0000050UBERON_4100111PATO_0000467	AI_EQ_1
4	0	UBERON_0001095PATO_0000119PATO_0002304PATO_0000122BFO_0000052UBERON_0001075	AI_EQ_1
4	1	UBERON_0001095PATO_0000119PATO_0002305PATO_0000122BFO_0000052UBERON_0001075	AI_EQ_1
5	0	UBERON_4300126PATO_0000467	AI_EQ_1
5	0	UBERON_4200199PATO_0000462	AI_EQ_2
5	1	UBERON_4300126PATO_0000467	AI_EQ_1
5	1	UBERON_4200199PATO_0000467	AI_EQ_2
5	2	UBERON_4300126PATO_0000462	AI_EQ_1
5	2	UBERON_4200199PATO_0000462	AI_EQ_2
6	0	UBERON_3000003PATO_0000462	AI_EQ_1
6	0	UBERON_3000003PATO_0001961UBERON_0001681	AI_EQ_2
6	1	UBERON_3000003PATO_0000574	AI_EQ_1
6	2	UBERON_3000003PATO_0000573	AI_EQ_1
6	2	UBERON_3000003PATO_0001961UBERON_0000209	AI_EQ_2
6	3		AI_EQ_1
6	4		AI_EQ_1
7	0	BSPO_0000077BFO_0000050UBERON_0002074PATO_0005022	AI_EQ_1
7	1	BSPO_0000077BFO_0000050UBERON_0002074PATO_0002210	AI_EQ_1
8	0	UBERON_0018367BFO_0000050UBERON_0004626PATO_0000462	AI_EQ_1
8	0	UBERON_0018367BFO_0000050UBERON_0004626PATO_0002235	AI_EQ_2
8	0	UBERON_0018367BFO_0000050UBERON_0004627PATO_0000462	AI_EQ_3
8	0	UBERON_0018367BFO_0000050UBERON_0004627PATO_0002235	AI_EQ_4
8	1	UBERON_0018367BFO_0000050UBERON_0004626PATO_0001890	AI_EQ_1
8	1	UBERON_0018367BFO_0000050UBERON_0004627PATO_0001890	AI_EQ_2
9	0	UBERONTEMP_1a260624-dd7f-4984-a989-789d6e961a3cBFO_0000050UBERON_4000163PATO_0000462	AI_EQ_1
9	1	UBERONTEMP_1a260624-dd7f-4984-a989-789d6e961a3cBFO_0000050UBERON_4000163PATO_0000467	AI_EQ_1
10	0	UBERONTEMP_160a7d88-ce21-4e9f-bc46-5cb40d86b259PATO_0001633UBERON_0001676	AI_EQ_1
