1	0	UBERON_0018296PATOTEMP_d4b1149b-cd77-4235-97d0-61045b2788ae	AI_EQ_1
1	0	UBERON_0018297PATO_0000586	AI_EQ_2
1	1	UBERON_0018296PATOTEMP_36bb9fe9-9879-4809-9aaa-f4a115f36332	AI_EQ_1
1	1	UBERON_0018297PATO_0000467	AI_EQ_2
1	2	UBERON_0018296PATOTEMP_36bb9fe9-9879-4809-9aaa-f4a115f36332	AI_EQ_1
1	2	UBERON_0018297PATO_0000462	AI_EQ_2
2	0	UBERON_4300127BFO_0000050UBERON_0004747PATO_0000070	AI_EQ_1
2	1	UBERON_4300127BFO_0000050UBERON_0004747PATO_0000470	AI_EQ_1
3	0	UBERON_0017098PATO_0000140PHENOSCAPE_complement_ofPATO_0002261UBERON_4100111	AI_EQ_1
3	1	UBERON_0017098PATO_0002261UBERON_4100111	AI_EQ_1
4	0	UBERON_0001095PATO_0000569UBERON_0001075	AI_EQ_1
4	1	UBERON_0001095PATO_0000570UBERON_0001075	AI_EQ_1
5	0	UBERON_4300126PATO_0000467	AI_EQ_1
5	0	UBERONTEMP_657f231c-3c4d-4853-a17f-82c710315be6PATO_0000462	AI_EQ_2
5	1	UBERON_4300126PATO_0000467	AI_EQ_1
5	1	UBERONTEMP_657f231c-3c4d-4853-a17f-82c710315be6PATO_0000467	AI_EQ_2
5	2	UBERONTEMP_ba10737a-6aef-4435-b85f-4761b4978e5fPATOTEMP_a37eda36-7bb0-4386-a24d-383cf3a9d474	AI_EQ_1
6	0	UBERON_0018341PATO_0000462	AI_EQ_1
6	0	UBERON_0018341PATO_0001961UBERON_0001681	AI_EQ_2
6	1	UBERON_0018341PATO_0000574	AI_EQ_1
6	1	UBERON_0018341PATO_0001961UBERON_0001681	AI_EQ_2
6	2	UBERON_0018341PATO_0000573	AI_EQ_1
6	2	UBERON_0018341PATO_0001961UBERON_0001681	AI_EQ_2
6	2	UBERON_0018341PATO_0001961UBERON_0000209	AI_EQ_3
6	3		AI_EQ_1
6	4		AI_EQ_1
7	0	UBERONTEMP_a49f340d-34d5-487f-aeb8-a5f21b794526PATO_0000462	AI_EQ_1
7	1	UBERONTEMP_a49f340d-34d5-487f-aeb8-a5f21b794526PATO_0000467	AI_EQ_1
8	0	UBERON_0018367BFO_0000050UBERON_0004626PATO_0000462	AI_EQ_1
8	0	UBERON_0018367BFO_0000050UBERON_0004626PATO_0002235	AI_EQ_2
8	0	UBERON_0018367BFO_0000050UBERON_0004627PATO_0000462	AI_EQ_3
8	0	UBERON_0018367BFO_0000050UBERON_0004627PATO_0002235	AI_EQ_4
8	1	UBERON_0018367BFO_0000050UBERON_0004626PATO_0002391	AI_EQ_1
8	1	UBERON_0018367BFO_0000050UBERON_0004627PATO_0002391	AI_EQ_2
9	0	UBERONTEMP_771d4bfd-8447-4e10-8284-2c6e2362eeb4PATO_0000462	AI_EQ_1
9	1	UBERONTEMP_771d4bfd-8447-4e10-8284-2c6e2362eeb4PATO_0000467	AI_EQ_1
